"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Antigua and Barbuda","ATG","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.4093084142015","82.8012294888333","83.1931505634651","83.585071638097","83.9769927127288","84.3689137873606","84.7608348619925","85.1527559366243","85.5446770112561","85.936598085888","86.3285191605197","86.7204402351516","87.1123613097834","87.5042823844152","87.5042823844152","87.5042823844152","87.5042823844152","87.5042823844152","","",
"Australia","AUS","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9911523822512","99.9911523822512","99.9911523822512","99.9911523822512","99.9911523822512","99.9911523822512","99.9911523822512","99.9911523822512","99.9911523822512","99.9911523822512","99.9911523822512","99.9911523822512","99.9911523822512","99.9911523822512","99.9911523822512","99.9911523822512","99.9911523822512","99.9911523822512","","",
"Austria","AUT","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9999825282685","99.999989054002","99.9999987403177","99.9983783752157","99.9965329956876","99.9947022815882","99.9928921593185","99.9911029009291","99.9893284448224","99.987571737567","99.9858330250449","99.9841121228219","99.9823112215371","99.9804576387726","99.9785889656659","99.9767087846052","99.9748135182502","99.9729096123263","","",
"Azerbaijan","AZE","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.210341837375","64.7855254210116","66.3554907750351","67.9205939408289","69.4806470207399","71.6186382267174","73.7722442056835","75.9416677996183","78.1267086088922","80.3275750426174","82.5463325488715","84.7827446220276","87.0367194222409","89.3082884004391","90.9184365681072","92.4560650540911","92.4830948823569","92.5114453471259","","",
"Burundi","BDI","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.2147438357859","45.423558615303","45.6343662349946","45.8472939991747","45.8686361300085","45.8870560452894","45.9023902344141","45.9145299666912","45.9232636546194","45.9285455969249","45.9300724555156","45.9277130639938","45.9213289130441","45.9106193377862","45.8955054064001","45.8757101376602","45.8510192551699","45.8212048667364","","",
"Belgium","BEL","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4833108435927","99.4836738025257","99.4840436142335","99.4844201473851","99.4847830158582","99.4851600970339","99.4855276542864","99.485901788448","99.4860798776","99.4860789823421","99.4860712773164","99.4860703905843","99.4860649540609","99.4860675734247","99.486064028335","99.4860616896739","99.4860576241743","99.486060200783","","",
"Benin","BEN","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.60482880163903","8.99838958944961","9.41642937829056","9.86707815334288","10.3312378244821","10.8084227668719","11.2986741198831","11.8020345109418","12.3181910837002","12.8466378454635","13.3875959381188","13.9409263796284","14.5064867101912","15.0837618912563","15.6739162829555","16.0117408146427","16.3511377872339","16.4529205701784","","",
"Burkina Faso","BFA","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.2876519207883","11.6182797422093","12.3463818522194","13.0539519351476","13.7416316931395","14.4069396699776","15.0504892753067","15.6045729901406","16.0846903794319","16.5427156117949","16.9791737547981","17.3937919658064","17.7859552319091","18.1554307680267","18.5023008777199","18.8259930750013","19.1262790401477","19.4020870942332","","",
"Bangladesh","BGD","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.6440404705312","26.9742542910608","28.3334756706572","29.6881276791102","31.0377748313427","32.412221409107","33.7831641706071","35.149196179516","36.5089431799366","37.8610512436861","39.2046130132118","40.538099188074","41.8597414785269","43.1681510831289","44.4627029692762","45.7421610879166","47.0058028392138","48.2332427177019","","",
"Bulgaria","BGR","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.8273532296862","85.8355322286331","85.8464954205813","85.8573400817214","85.8681471464408","85.8788710414722","85.8894984537465","85.9000681462729","85.9105801846071","85.9209982106496","85.9313531364795","85.941619549318","85.9519231719859","85.9622512936689","85.9725800142112","85.9829416171269","85.9933057341552","86.0036981124037","","",
